Sex,occode,level3,Change_exit_pp,DiD_beta_pp,DiD_percentile,DiD_beta_type,N_1851_61,N_1861_81,Exit_1851_61_pp,Exit_1861_81_pp,Exit_1851_61,Exit_1861_81,DiD_beta_pp.x,DiD_beta_pp.y
Men,318,"SILVER-SMITHS, BUFFERS, BURNISHERS, FINISHERS",7.37009596738104,,61.0389610389611,Occupation placebo DiD,1105,1183,66.4253393665158,73.7954353338969,0.664253393665158,0.737954353338969,-2.61674244649874,-2.61674244649874
Men,438,FURNITURE AND FITTINGS - OTHERS,7.3275106832407,,69.2640692640693,Occupation placebo DiD,6664,6043,47.7941176470588,55.1216283302995,0.477941176470588,0.551216283302995,-1.28635319927497,-1.28635319927497
Men,20,SOLDIERS AND NON-COMMISSIONED OFFICERS,7.26847616143134,,68.8311688311688,Occupation placebo DiD,1845,3279,88.8888888888889,96.1573650503202,0.888888888888889,0.961573650503202,-1.29565829063111,-1.29565829063111
Men,620,COTTON & CALICO DYERS,7.10235718836271,,71.4285714285714,Occupation placebo DiD,554,680,74.3682310469314,81.4705882352941,0.743682310469314,0.814705882352941,-0.429890829985503,-0.429890829985503
Men,558,WOOLLEN CLOTH MANUFACTURE CARDING COMBING,6.95610133721808,,78.7878787878788,Occupation placebo DiD,8646,1411,77.1686328938237,84.1247342310418,0.771686328938237,0.841247342310418,0.77399911672233,0.77399911672233
Men,177,FARM - BAILIFFS STEWARDS FOREMEN,6.88853187141634,,70.1298701298701,Occupation placebo DiD,3596,3412,72.3025583982203,79.1910902696366,0.723025583982202,0.791910902696366,-1.05923099264679,-1.05923099264679
Men,436,ROAD LABOURERS,6.82868841632545,,57.1428571428572,Occupation placebo DiD,1809,1017,79.6019900497513,86.4306784660767,0.796019900497513,0.864306784660767,-3.06512180846076,-3.06512180846076
Men,457,"COOPER; HOOP--MAKER, BENDER",6.82368022096269,,56.7099567099567,Occupation placebo DiD,4178,3042,30.6845380564864,37.5082182774491,0.306845380564864,0.375082182774491,-3.14362440793033,-3.14362440793033
Men,52,SCHOOLMASTERS AND TEACHERS (DEFAULT),6.72884249356331,,61.4718614718615,Occupation placebo DiD,5131,3655,47.963359968817,54.6922024623803,0.47963359968817,0.546922024623803,-2.5458136876026,-2.5458136876026
Men,426,GASFITTER,6.5788407270691,,64.5021645021645,Occupation placebo DiD,562,966,67.4377224199288,74.0165631469979,0.674377224199288,0.740165631469979,-2.10862139191367,-2.10862139191367
Men,260,BRASS FOUNDERS,6.56557881773399,,64.0692640692641,Occupation placebo DiD,2212,1856,64.2857142857143,70.8512931034483,0.642857142857143,0.708512931034483,-2.1253804094112,-2.1253804094112
Men,593,LACE MANUFACTURE,6.47929311581836,,68.3982683982684,Occupation placebo DiD,2587,2154,39.8531117124082,46.3324048282266,0.398531117124082,0.463324048282266,-1.38428581490885,-1.38428581490885
Men,574,SILK WORKERS - SPINNERS,6.42067979982991,,67.965367965368,Occupation placebo DiD,1484,1011,72.7088948787062,79.1295746785361,0.727088948787062,0.791295746785361,-1.4513196542697,-1.4513196542697
Men,697,GROCERS TEA DEALERS,6.32230483723432,,61.9047619047619,Occupation placebo DiD,13420,12133,56.5722801788376,62.8945850160719,0.565722801788376,0.628945850160719,-2.52079829057164,-2.52079829057164
Men,733,CATTLE SHEEP ETC SALESMEN,6.32134104864935,,63.6363636363636,Occupation placebo DiD,1293,996,63.9597834493426,70.281124497992,0.639597834493426,0.70281124497992,-2.13715662059408,-2.13715662059408
Men,572,WORSTED AND STUFF MANUFACTURE UNDEFINED,6.2187792723043,,65.3679653679654,Occupation placebo DiD,1082,1257,78.18853974122,84.4073190135243,0.7818853974122,0.844073190135243,-1.92445451026612,-1.92445451026612
Men,294,CUTLERY AND SCISSOR MAKERS,6.15992607376717,,57.5757575757576,Occupation placebo DiD,4690,3941,36.9509594882729,43.1108855620401,0.369509594882729,0.431108855620401,-3.02382908708043,-3.02382908708043
